Regulator Effects for My Projects->June2014->ProprietaryMultipleRankDataSet - 2014-04-29 10:39 AM
Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationships
2.435	129	13	4-nonylphenol,beta-estradiol,camptothecin,cocaine,CREB1,CSF2,F7,GLP-1-(7-34)-amide,ionomycin,metformin,PPARG,tunicamycin,Vegf	114	ABCA1,ACE,ACKR3,AGTR1,ATP2A2,BCL2,BCL6,CAT,CCND2,CDKN1A,CEBPD,CITED2,CRK,CTGF,CTSK,DICER1,DLL4,DVL3,EFEMP2,ENPP2,FAS,FGF2,FLT1,FOXO1,GAB1,GADD45A,GDNF,HADHA,HBEGF,HDAC4,HMOX1,HSD11B1,HSPB8,ID3,IER3,IGF1,IGF2,IGFBP4,IGFBP5,IGFBP7,IL18,IRS1,ITGB3,JUN,KLF1,KLF10,KRAS,LIF,LMNA,LPL,MARK2,MEOX2,MERTK,MKL2,MYC,MYF6,MYH10,MYOD1,NCOA2,NCOA6,NFAT5,NFATC1,NFATC3,NFE2L2,NOTCH3,NPPA,NR1H2,NTRK3,PARD3,PBX1,PDE3B,PDGFA,PDGFB,PDGFRB,PDK4,PIK3R1,PIM3,PLEC,PPARGC1A,PPP1R15A,PRDX2,PSAP,PTK2,PVRL1,RAC1,RELA,RHEB,RIPK1,RUNX2,SDC4,SLC11A2,SLC2A4,SMAD3,SMAD5,SNAP25,SPRY2,SRC,SRSF10,STAT5B,TFRC,TGFB3,THBD,TNFRSF1A,TNFRSF1B,TPM1,TRIB1,TXNIP,UCP3,ULK1,VEGFA,XBP1,YWHAE,ZFP36,ZFP36L1	2	morphology of cardiovascular system,morphology of connective tissue	23% (6/26)
2.357	37	18	AGT,carbon tetrachloride,DICER1,EGFR,ERK,FGF1,HIF1A,IL1A,isoproterenol,LDL,MYOD1,NOTCH1,P38 MAPK,PDGF-AA,RELA,SP600125,testosterone,Tgf beta	18	CDKN1A,CREBBP,FGF2,FGFR1,FHL2,FOXO1,GSK3B,IGF2,JUN,KLF10,MSTN,PDGFA,PDGFB,RAC1,RGS4,SPRY2,TGFBR1,TNFRSF12A	1	formation of muscle	6% (1/18)
2.157	62	4	cisplatin,CSF2,kainic acid,metformin	55	ABCA1,ABL1,ACE,ARNT,BCL2,CAT,CCND2,CDKN1A,CTGF,CTNNB1,DICER1,DVL3,EFEMP2,FAS,FGF2,FLT1,FOS,GADD45A,GDNF,HADHA,HBEGF,HEYL,HMOX1,HYAL1,ID3,IER3,IGF1,IL18,IRS1,ITGB3,JUN,KLF1,LMNA,LMO2,LMO4,MARCKS,MYC,NFATC1,PDE3B,PDK4,PIM3,PPARG,PPARGC1A,PPP1R15A,PTK2,RAC1,RELA,RUNX2,SLC11A2,SLC2A4,TNFRSF1A,TNFRSF1B,UBE4B,XBP1,ZFP36	3	formation of embryonic tissue,morphology of cardiovascular system,morphology of connective tissue	8% (1/12)
2.111	17	5	4-nonylphenol,aldosterone,HOXA5,TFAP2C,VIP	11	ACE,CDKN1A,EGR1,EGR3,FOS,IGF1,MBP,NFKBIA,SGK1,SKIL,SLC9A1	1	formation of plasma membrane projections	20% (1/5)
1.732	5	1	pentobarbital	3	FOS,JUN,NR4A1	1	development of connective tissue	0% (0/1)
1.667	51	12	arsenite,BAPTA-AM,CHRM1,DACH1,HDAC2,Histone h3,lisinopril,miR-29b-3p (and other miRNAs w/seed AGCACCA),miR-503-5p (miRNAs w/seed AGCAGCG),NPR1,platelet activating factor,SKF-38393	36	ACKR3,CCND2,CDKN1A,CEACAM1,CYR61,FGF2,FGFR1,FOS,FST,GDNF,HES1,HMOX1,HOXB1,ID2,IER3,IGF1,JUN,KLF4,MYC,NFATC3,NFKBIA,NR3C1,NR4A1,PDGFB,PDGFRB,PIK3R1,PPARG,RUNX2,SLC9A1,SMN1/SMN2,SRSF10,TGFB3,TP63,VEGFA,XBP1,YY1	3	perinatal death,proliferation of breast cancer cell lines,quantity of muscle cells	11% (4/36)
1.522	80	5	bortezomib,CSF2,cyclic AMP,EGF,forskolin	73	ABCA1,ABI1,ACE,AR,ARHGAP1,BAG1,BAX,BCL2,BTG2,CDKN1A,CEBPD,CTGF,CXCL2,DDX5,E2F3,EFEMP2,ETS2,FGF2,FLT1,FOS,FOSL2,FOXO1,GNAS,GSTP1,HSD11B1,IGF1,IGF2,IGFBP4,IGFBP5,IL1R1,IRS1,ITGB3,KLF1,KLF10,KRAS,LIF,MITF,MT1E,MT1H,MYC,NCOA2,NFKBIA,PDGFRB,PDK4,PDPN,PDXK,PIM3,PPARG,PPARGC1A,PPP1R15A,PRDX1,PRDX2,RAF1,RALA,RELA,RHOA,RUNX2,SAA1,SLC11A2,SLC2A5,SMAD1,SMAD3,SMAD7,SPRY2,TGFB3,THBD,TPM1,TRIB1,TUBA4A,ULK1,VEGFA,XBP1,ZFP36	2	morphology of connective tissue,renal cancer	20% (2/10)
1.342	7	1	REN	5	ADD3,CTGF,FGF2,FOS,RELA	1	quantity of cells	100% (1/1)
1.342	7	1	CCND1	5	BCL2,CDKN1A,HSPB8,IER3,PPARG	1	apoptosis of breast cancer cell lines	100% (1/1)
1.336	22	7	CSF3,cyclosporin A,doxorubicin,GFI1,HGF,INSR,PPARG	14	ACHE,AGTR1,AR,CASR,CDKN1A,GDNF,LGMN,PDE3B,PDE4B,SMAD3,TNFRSF1A,TNFRSF1B,TNNI3,VEGFA	1	chronic renal failure	71% (5/7)
1.234	54	10	15-deoxy-delta-12,14 -PGJ 2,cyclic AMP,EGF,fluocinolone acetonide,FMR1,lipopolysaccharide,MAP3K7,N-methyl-D-aspartate,trichostatin A,troglitazone	42	AR,BAG1,BASP1,BAX,BTG2,CCL7,CDC42EP3,CDKN1A,CTNNB1,CXCL2,DDX5,E2F3,ETS2,FLT1,FOS,GSTP1,HLA-B,IGF2,IL1R1,ITGB3,KLF6,MITF,MT1E,MT1H,MYC,NFKBIA,NUPR1,PARK7,PDGFRB,PPARG,RALA,RANBP2,RELA,SAA1,SMAD7,THBD,THRB,TRIB1,TUBB4B,UQCRFS1,VEGFA,ZMYND8	2	hypertrophy of mesangial cells,renal cancer	5% (1/20)
1.061	10	1	JUNB	8	ATF3,BCL3,CXCL2,DUSP1,HMOX1,ID2,ITGB3,RUNX2	1	quantity of blood cells	0% (0/1)
1.000	6	1	VIMP	4	DDIT3,HSPA5,PPARG,XBP1	1	Viral Infection	0% (0/1)
0.962	38	10	EZR,fluocinolone acetonide,HDAC5,mir-155,motexafin gadolinium,N-methyl-D-aspartate,Ro31-8220,ruboxistaurin,TREM1,VitaminD3-VDR-RXR	27	AQP1,BAX,BCL2,CDKN1A,CTNNB1,CXCL3,EGR1,FOS,FOXO1,FOXO3,HES1,IL1R1,LIF,MAF,MARCKS,MT1E,MT1F,MT1H,NFKBIA,PDGFRB,RUNX2,SLC1A3,SMAD2,SPRY2,THBD,TNFRSF1A,WNT5A	1	development of head	10% (1/10)
0.894	8	1	TFAP2C	5	CDKN1A,CTGF,EGR3,FST,MBP	2	formation of plasma membrane projections,metastasis	0% (0/2)
0.500	6	1	monorden	4	BAX,DDIT3,HSPA1A/HSPA1B,HSPA5	1	Rheumatic Disease	0% (0/1)
0.267	20	5	EIF2AK3,ERN1,KLF5,PITX2,potassium chloride	14	CCND2,E2F3,FGF2,FOXO1,ID3,IGF1,JUN,MYC,PDGFB,PPARG,TBX3,VEGFA,XBP1,ZFP36	1	Hypoplasia	40% (2/5)
0.000	38	8	HDAC5,KLF15,MAP3K7,Map4k4,MAPK1,PPARGC1A,PPARGC1B,prostaglandin A2	29	ACACB,BCL2,CAT,CDKN1A,CKMT2,ELAVL1,HADHA,HBEGF,HMGCL,HMOX1,IGF1,IGFBP7,ITGB3,JUN,LIF,LMNA,LPL,MYC,NDUFS4,NFATC1,NFE2L2,NPPA,PDGFB,PFKM,PPARG,SLC2A4,TNFRSF1A,TNFRSF1B,VEGFA	1	morphology of cardiovascular system	50% (4/8)
0.000	11	1	fluocinolone acetonide	7	AQP1,MT1E,MT1F,MT1H,RUNX2,SAA1,ZBTB16	3	development of body axis,metastasis,renal cancer	0% (0/3)
0.000	11	1	HDAC5	7	CDKN1A,CTNNB1,HES1,MYC,NPPA,PPARGC1A,TNFRSF1A	3	development of head,formation of embryonic tissue,morphology of cardiovascular system	0% (0/3)
0.000	7	1	EZR	4	BAX,BCL2,CTNNB1,FAS	2	development of head,Rheumatic Disease	50% (1/2)
-0.914	136	32	7-ketocholesterol,asiatic acid,ATF2,crocidolite asbestos,DDX5,epothilone B,farnesol,fludarabine,homocysteine,HSPA5,hydroxyurea,Igm,JAK2,KLF15,methamphetamine,methylnitronitrosoguanidine,mir-17,mitomycin C,mitoxantrone,NRG1,paclitaxel,Pdgf (complex),phencyclidine,PP1,PPARGC1B,PRKCB,quinolinic acid,rituximab,sodium arsenite,TOPBP1,UCN-01,vitamin E	97	ABCA1,ABCC1,ABL1,ACE,AR,ARID4B,ATF3,ATF6,BAG1,BAX,BCL2,BNIP3,BTG2,CAT,CDC42EP3,CDKN1A,CHUK,COX5A,CTGF,CTNNB1,CXCL2,CYR61,DAG1,DDIT3,EGR1,ENPP2,FAS,FGF2,FOS,FOSL2,FOXO1,FOXO3,FTH1,G0S2,GADD45A,GPI,HSP90AB1,HSPA1A/HSPA1B,HSPA8,IDUA,IER3,IGF2,ITGB3,ITGB5,JAK1,JUN,KLF10,LPL,MAT2A,MCL1,MT2A,MUS81,MYC,NDUFS1,NFATC1,NFKB1,NFKBIA,NGF,NR4A1,NR4A3,NUPR1,OSMR,PDGFA,PDK4,PFN1,PPARG,PPARGC1A,PPM1D,PPP1R15A,PRDX1,PRDX2,RAF1,RELA,RGS4,RHOB,SAA1,SCN1B,SLC11A2,SMAD7,SPTB,SRC,SREBF1,SVIL,TGFB3,THBD,TNFRSF1A,TNFRSF1B,TP53INP1,TP63,TRAF1,TUBA4A,UCP3,VEGFA,XBP1,XRCC6,ZFP36,ZFP36L1	7	apoptosis of cervical cancer cell lines,apoptosis of fibroblast cell lines,apoptosis of kidney cell lines,infection of epithelial cell lines,liver cancer,morphology of connective tissue,renal cancer	12% (26/224)
-3.157	40	6	CSF2RA,CSF2RB,EGR2,EIF2AK3,formaldehyde,SU6656	29	ATF3,BAX,BCL2,CCL7,CCND2,CTGF,EGR1,FGF2,FOS,GADD45A,GDNF,HOXB3,ID2,IGF1,IGF2,IL6R,JUN,JUNB,KLF4,LAMA2,MYC,ROBO1,SARS,SMAD1,VEGFA,XBP1,YARS,ZFP36,ZFP36L1	5	angiogenesis,development of connective tissue,Hypoplasia,proliferation of muscle cells,vasculogenesis	13% (4/30)
-3.182	10	1	hydrogen peroxide	8	BTG2,DUSP16,ETS2,HMGB1,HSPA5,NEDD4,PCBP2,TFRC	1	infection of embryonic cell lines	0% (0/1)
-3.182	10	1	hydrogen peroxide	8	BTG2,DUSP16,ETS2,HMGB1,HSPA5,NEDD4,PCBP2,TFRC	1	infection of kidney cell lines	0% (0/1)
-3.780	10	2	miR-483-3p (miRNAs w/seed CACUCCU),miR-92a-3p (and other miRNAs w/seed AUUGCAC)	7	CDKN1A,CTNNB1,IGF2,ITGB3,MAPKAPK2,RAF1,SMAD4	1	angiogenesis	0% (0/2)
-4.221	13	1	IL5	11	BCL2,BCL6,CCND2,CDKN1A,CITED2,FAS,GADD45A,HBEGF,IER3,MYC,XBP1	1	morphology of cardiovascular system	0% (0/1)
-4.919	7	1	prostaglandin A2	5	CDKN1A,ELAVL1,HMOX1,IGF1,NR4A3	1	necrosis	100% (1/1)
-4.919	7	1	RGS2	5	CEBPD,HBEGF,IL18,PPARG,SREBF1	1	apoptosis	0% (0/1)
-4.919	7	1	prostaglandin A2	5	CDKN1A,ELAVL1,HMOX1,IGF1,NR4A3	1	apoptosis	0% (0/1)
-5.367	7	1	TNF	5	AGTR1,NPPA,RAC1,RGS4,RHOA	1	bradycardia	0% (0/1)
-6.000	6	1	betamethasone	4	CTGF,FXN,IDO1,NR3C1	1	apoptosis	0% (0/1)
-6.261	7	1	FBXO32	5	ALDH1A3,CCND2,CXCL3,IL1R1,OAT	1	development of head	0% (0/1)
-7.000	6	1	HGF	4	AKAP13,IGF1,NFKB1,RAC1	1	hypertrophy of cardiac muscle	0% (0/1)
-7.000	6	1	dibutyl phthalate	4	AR,NFKB1,POR,RELA	1	infection by Retroviridae	0% (0/1)
-7.500	6	1	IFRD1	4	CTGF,IGF1,MYC,MYOD1	1	morphology of connective tissue	0% (0/1)
-7.506	5	1	PTGFR	3	FOS,GDNF,NR4A1	1	quantity of cells	0% (0/1)
-7.506	5	1	beta-estradiol	3	IL6R,NFATC3,RAC1	1	hypertrophy of myocardium	0% (0/1)
-8.083	5	1	RBM5	3	BCL2,MCL1,TRAF1	1	apoptosis of kidney cell lines	0% (0/1)
-8.839	10	1	NUPR1	8	BNIP3,CYR61,FOXO3,GADD45A,HK2,PARP1,PRNP,XBP1	1	apoptosis of breast cancer cell lines	0% (0/1)
-9.333	12	2	L-glutamic acid,mono-(2-ethylhexyl)phthalate	9	AR,FGF2,PPARG,PPARGC1A,SDHA,SLC1A3,SLC25A1,SLC2A4,TPI1	1	cardiomyopathy	0% (0/2)
-9.827	9	1	IL1A	7	ADAMTS5,CXCL12,FAS,IL18,MT2A,NFKB1,RELA	1	infection by HIV-1	100% (1/1)
-10.960	101	21	7-ketocholesterol,amphetamine,ATF6,CSF2RA,CSF2RB,CYB5R4,diazoxide,fluoride,formaldehyde,GATA1,H-7,HSPA5,IL32,KLF15,LB-205,MAP3K7,methamphetamine,phencyclidine,quinolinic acid,TCF,vitamin K3	72	ABCC1,ATF3,ATP2A2,BAX,BCL2,BTG2,CAT,CCL7,CCND2,CTGF,CTSK,CXCL2,DDIT3,DICER1,EGR1,FAS,FOS,FOSL2,GADD45A,GDNF,GNAS,HADHA,HBEGF,HIPK2,HMOX1,HSPA1A/HSPA1B,HSPA8,ID3,IL15RA,IL1R1,IRS1,ITGB3,ITGB5,JUN,KLF1,LMO2,LPL,MCL1,MECOM,MITF,MT1E,MYC,NFATC1,NFKB1,NGF,NPPA,NR4A1,NTRK3,PDGFB,PDK4,PPARG,PPARGC1A,PRNP,RELA,RGS4,RUNX2,SAA1,SGK1,SLC2A4,SLC39A6,SMAD3,SPTB,SRC,SREBF1,TFRC,THBD,TNFRSF1A,TNFRSF1B,TSPAN8,UCP3,VEGFA,XBP1	8	apoptosis of cervical cancer cell lines,apoptosis of fibroblast cell lines,apoptosis of hepatoma cell lines,apoptosis of kidney cell lines,liver cancer,morphology of cardiovascular system,morphology of connective tissue,renal cancer	10% (16/168)
-11.206	75	20	7-ketocholesterol,amphetamine,ATF6,betaine,CSF2RA,CSF2RB,CYB5R4,diazoxide,FGFR1,fluoride,formaldehyde,H-7,HINT1,HSPA5,IL32,LB-205,phencyclidine,PPARGC1B,propofol,vitamin K3	46	ABCA1,ABCC1,ACACB,ATF3,ATP2A2,BAX,BCL2,CCND2,CDKN1A,COL1A2,COX5A,CTSK,CXCL3,DDIT3,EGR1,FAS,FGF2,FOS,FOSL2,GADD45A,HMGB1,HMOX1,HSPA8,JUN,LPL,MCL1,MYC,NFATC1,NFKB1,NGF,NPPA,PDK4,PRNP,RGS4,RUNX2,SAA1,SGK1,SLC2A4,SLC39A6,SMAD3,SREBF1,THBD,TPSAB1/TPSB2,VEGFA,XBP1,ZFP36	9	apoptosis of cervical cancer cell lines,apoptosis of fibroblast cell lines,apoptosis of hepatoma cell lines,apoptosis of kidney cell lines,glioma,liver cancer,morphology of cardiovascular system,morphology of connective tissue,Rheumatic Disease	13% (24/180)
-12.522	7	1	miR-218-5p (and other miRNAs w/seed UGUGCUU)	5	PARP1,RICTOR,RUNX2,SP1,VOPP1	1	apoptosis	0% (0/1)
-14.000	12	2	arsenic trioxide,KRAS	9	CTNNB1,MT2A,MYC,PAK1,PPARG,PTK2,RELA,RHOA,RHOB	1	quantity of filaments	50% (1/2)
-14.000	6	1	lipopolysaccharide	4	CSF3,DAG1,NFKB1,TNNI3	1	fibrosis of myocardium	0% (0/1)
-16.743	5	1	MEL S3	3	COX5A,HSPA1A/HSPA1B,PRDX2	1	cell death of cervical cancer cell lines	0% (0/1)
-16.743	5	1	Collagen(s)	3	CYR61,DDIT3,LAMP2	1	cell death of fibroblast cell lines	0% (0/1)
-16.743	5	1	phorbol myristate acetate	3	LPL,NFKB1,PTK2	1	interstitial fibrosis of heart	0% (0/1)
-17.555	8	1	miR-1 (and other miRNAs w/seed GGAAUGU)	6	BCL2,IGF1,NOTCH3,PTMA,TPM1,YWHAQ	1	proliferation of breast cancer cell lines	0% (0/1)
-27.969	9	1	miR-122-5p (miRNAs w/seed GGAGUGU)	7	BACH2,G6PC3,HFE2,HMGB1,NFATC1,PRDX2,TRIB1	1	quantity of blood cells	0% (0/1)
-53.333	17	4	CYB5R4,fluoride,HSPA5,IL24	9	ATF3,ATF6,BAX,BCL2,DDIT3,FAS,FOS,MCL1,PPP1R15A	4	apoptosis of fibroblast cell lines,apoptosis of hepatoma cell lines,apoptosis of kidney cell lines,damage of liver	25% (4/16)
